宛名番号,届出日,異動日,異動事由コード,補助事由コード,世帯番号,カナ氏名,漢字氏名,英字氏名,生年月日,性別,続柄１,続柄２,続柄３,続柄４,住民日,住民届出日,住民事由コード,住民区分,世帯主住民区分,漢字世帯主名,英字世帯主名,通称世帯主名,世帯主氏名優先区分,現住所町名コード,現住所番地コード,現住所枝番コード,現住所小枝番コード,現住所枝番３コード,現住所,現住所方書,現住所郵便番号,現住所住定日,現住所届出日,現住所異動事由コード,先住所都道府県コード,先住所市区町村コード,先住所,先住所方書,先住所郵便番号,先住所異動日,先住所届出日,先住所異動事由コード,先住所区分,個人消除フラグ,消除日,消除届出日,消除事由コード,不詳区分,死亡日１,死亡日２,転出日,転出届出日,職権消除日,国籍取得日,国籍喪失日,外国人国籍コード,外国人住民日,外国人第３０条４５規定区分,外国人在留カード等の番号,外国人在留資格コード,外国人在留期間コード,外国人在留期間満了日,外国人カナ通称名,外国人通称名,外国人氏名優先区分,電話番号,世帯区分,作成更新日,作成更新時間,所得割額,均等割額,課税区分,更正事由,転入元都道府県市区町村コード,住民票コード
1111111111,20010101,20050101,A01,20A11,1000000000,タナカ　タロウ,田中　太郎,tanaka taro,20100101,1,2X,1A,3B,4C,20150101,20200101,A11,0,1,鈴木　一,suzuki ichi,スズキ　イチ,5,134849,54832,13139,10194,48485,東京町1丁目1番1号,94377,123-4567,20250101,20300101,B22,11,123,東京都東京区東京町1丁目1番1号,11111,123-4567,20010101,20050505,B11,9,8,20360101,20400101,B22,7,20500101,20550101,20600101,20650101,20700101,20750101,20800101,312,20850101,15,333111222,T20,1122333,20110101,サトウ　ヨシオ,sato yoshio,4,111-2222-3333,3,20220101,11223344,39573057343,24047601307,1,1122,54321,123456789098765
2222222222,,,,,1000000000,スズキ　イチロウ,鈴木　一郎,,20010101,1,,,,,20210101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,11111,495705773015305
3333333333,,,,,2000000000,ササキ　ケンタ,佐々木　健太,,20020101,1,,,,,20190101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,22222,921589185480475
4444444444,,,,,2000000000,ワタベ　イチ　,渡部　一,,19990101,1,,,,,20180101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,33333,340574073594754
5555555555,,,,,3000000000,サトウ　ヨシオ,佐藤　義雄,,19880101,1,,,,,20150101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,44444,894370325702620
6666666666,20010101,20050101,A01,20A11,3000000000,タナカ　タロウ,田中　太郎,tanaka taro,20100101,1,2X,1A,3B,4C,20150101,20200101,A11,0,1,鈴木　一,suzuki ichi,スズキ　イチ,5,134849,54832,13139,10194,48485,東京町1丁目1番1号,94377,123-4567,20250101,20300101,B22,11,123,東京都東京区東京町1丁目1番1号,11111,123-4567,20010101,20050505,B11,9,8,20360101,20400101,B22,7,20500101,20550101,20600101,20650101,20700101,20750101,20800101,312,20850101,15,333111222,T20,1122333,20110101,サトウ　ヨシオ,sato yoshio,4,111-2222-3333,3,20220101,11223344,39573057343,24047601307,1,1122,54321,123456789098765
7777777777,,,,,4000000000,スズキ　イチロウ,鈴木　一郎,,20010101,1,,,,,20210101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,11111,495705773015305
8888888888,,,,,4000000000,ササキ　ケンタ,佐々木　健太,,20020101,1,,,,,20190101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,22222,921589185480475
9999999999,,,,,5000000000,ワタベ　イチ　,渡部　一,,19990101,1,,,,,20180101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,33333,340574073594754
1010101010,,,,,5000000000,サトウ　ヨシオ,佐藤　義雄,,19880101,1,,,,,20150101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,44444,894370325702620
